Country,Attribute,Year,VarName,Variable Name,VarType,Unit,Nominal or Real,Age Groups,Upper Age Group,Single- or Five-Year,Status,Age0,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age13,Age14,Age15,Age16,Age17,Age18,Age19,Age20,Age21,Age22,Age23,Age24,Age25,Age26,Age27,Age28,Age29,Age30,Age31,Age32,Age33,Age34,Age35,Age36,Age37,Age38,Age39,Age40,Age41,Age42,Age43,Age44,Age45,Age46,Age47,Age48,Age49,Age50,Age51,Age52,Age53,Age54,Age55,Age56,Age57,Age58,Age59,Age60,Age61,Age62,Age63,Age64,Age65,Age66,Age67,Age68,Age69,Age70,Age71,Age72,Age73,Age74,Age75,Age76,Age77,Age78,Age79,Age80,Age81,Age82,Age83,Age84,Age85,Age86,Age87,Age88,Age89,Age90,Age91,Age92,Age93,Age94,Age95,Age96,Age97,Age98,Age99,Age100,Age101,Age102,Age103,Age104,Age105,Age106,Age107,Age108,Age109,Age110,Prepared At,Prepared By,Uploaded At,Uploaded By,Country attribute 1,Country attribute 2,Country attribute 3,Country attribute 4,Country attribute 5
US,,2011,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.84220000000001,865.44740000000002,2252.777,3914.3919999999998,6000.7299999999996,8621.6630000000005,11753.030000000001,15389.309999999999,19365.02,23425.66,27324.48,30813.310000000001,33861.690000000002,36536.07,38957.050000000003,41151.5,43172.809999999998,45123.019999999997,46928.160000000003,48715.68,50538.620000000003,52401.620000000003,54102.239999999998,55598.459999999999,56634.260000000002,57175.519999999997,57465.550000000003,57460.169999999998,57352.43,57423.260000000002,57671.379999999997,57926.089999999997,58301.660000000003,58654.339999999997,58757.919999999998,58750.699999999997,58563.779999999999,58428.730000000003,58276.230000000003,58258.639999999999,57907.029999999999,57193.019999999997,55754.400000000001,53769.809999999998,51094.790000000001,48194.43,44983.029999999999,41654.389999999999,38113.010000000002,34518.650000000001,30755.240000000002,27121.459999999999,23643.639999999999,20521.869999999999,17660.919999999998,15264.42,13177,11370.469999999999,9829.0679999999993,8525.3960000000006,7370.1149999999998,6392.2719999999999,5548.2179999999998,4727.384,4094.1590000000001,3642.3150000000001,3285.5790000000002,3028.9659999999999,2881.6460000000002,2708.645,2464.7449999999999,2258.7159999999999,2102.2190000000001,2016.191,1971.0809999999999,1925.972,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:55:36 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2010,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.340959999999999,902.00840000000005,2442.2669999999998,4236.7120000000004,6426.6419999999998,8991.8209999999999,12089.360000000001,15717.379999999999,19570.5,23493.259999999998,27494.459999999999,30976.240000000002,33836.150000000001,36383.129999999997,38606.589999999997,40437.900000000001,42279.480000000003,44206.220000000001,46069.260000000002,47813.879999999997,49451.160000000003,50957.080000000002,52233.330000000002,53221.199999999997,54030.080000000002,54742.620000000003,55231.010000000002,55648.550000000003,56056.949999999997,56315.550000000003,56455.699999999997,56550.279999999999,56527.5,56447.160000000003,56438.080000000002,56342.75,56198.730000000003,55997.470000000001,55634.849999999999,55069.110000000001,54275.959999999999,53222.379999999997,51803.150000000001,50045.529999999999,47931.279999999999,45438.970000000001,42555.639999999999,39489.139999999999,35966.360000000001,32253.939999999999,28420.279999999999,24854.889999999999,21522.709999999999,18612.25,16098.33,14146.299999999999,12386.309999999999,10835.639999999999,9582.5730000000003,8651.5830000000005,7842.9700000000003,7078.4250000000002,6366.2780000000002,5669.866,4808.7799999999997,4013.7820000000002,3356.8220000000001,2864.6709999999998,2453.9870000000001,2200.0889999999999,1954.877,1754.5989999999999,1602.116,1518.085,1473.5609999999999,1429.037,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:49:21 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2009,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930.50419999999997,2691.4070000000002,4733.1400000000003,7152.5959999999995,9948.2090000000007,13131.700000000001,16733.639999999999,20494.200000000001,24223.41,27805.09,31055.919999999998,33891.599999999999,36363.529999999999,38607.93,40703.82,42673.239999999998,44384.360000000001,45959.43,47364.760000000002,48726.290000000001,49817.790000000001,51003.57,52046.099999999999,52954.769999999997,53626.269999999997,54239.150000000001,54692.739999999998,55020.160000000003,55246.239999999998,55403.82,55537.550000000003,55535.639999999999,55527.290000000001,55474.669999999998,55336.529999999999,55113.949999999997,54604.739999999998,54058,53307.419999999998,52418.809999999998,51361.089999999997,50412.339999999997,49164.540000000001,47651.699999999997,45715,43190.230000000003,39942.449999999997,35968.68,31732.439999999999,27420.029999999999,23338.240000000002,19654.060000000001,16773.119999999999,14518.43,12663.459999999999,11123.440000000001,9791.2199999999993,8456.509,7188.259,6055.1009999999997,5114.3029999999999,4414.3549999999996,3930.9650000000001,3432.6039999999998,3088.558,2822.116,2604.509,2385.558,2271.2750000000001,2123.3690000000001,2005.1780000000001,1910.49,1837.2750000000001,1789.8820000000001,1742.4880000000001,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:49:03 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2008,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225.3320000000001,3166.2629999999999,5364.9110000000001,7959.1189999999997,10881.950000000001,14145.74,17802.509999999998,21631.220000000001,25436.669999999998,29222.509999999998,32732.799999999999,35766.949999999997,38479.07,40834.040000000001,42871.230000000003,44761.980000000003,46582.629999999997,48290.419999999998,49905.199999999997,51424.129999999997,52807.07,54018.480000000003,54949.690000000002,55680.599999999999,56241.080000000002,56638.870000000003,56864.129999999997,56975.550000000003,57108.959999999999,57303.730000000003,57560.349999999999,57900.290000000001,58381.650000000001,58840.82,59152.199999999997,59223.029999999999,59042.019999999997,58573.150000000001,57768.68,56665.650000000001,55374.949999999997,53703.93,51584.489999999998,49043.040000000001,46065.639999999999,42560.160000000003,38612.209999999999,34546.860000000001,30429.32,26418.110000000001,22614.43,19336.139999999999,16451.169999999998,14139.190000000001,12249.379999999999,10851.059999999999,9782.4719999999998,8910.1749999999993,7962.9160000000002,7026.7659999999996,6130.0029999999997,5258.3119999999999,4515.1409999999996,4065.3020000000001,3883.442,3726.3510000000001,3582.5419999999999,3411.4789999999998,3121.096,2702.0990000000002,2358.4490000000001,2093.8670000000002,1953.9939999999999,1877.7639999999999,1801.5340000000001,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:48:46 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2007,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154.171,3151.3290000000002,5411.0069999999996,8043.3580000000002,10918.65,14188.85,17740.130000000001,21430.389999999999,25057.029999999999,28711.82,32026.650000000001,34918.489999999998,37486.540000000001,39778.419999999998,41774.93,43669.18,45598.709999999999,47512.589999999997,49304.040000000001,50922.599999999999,52398.620000000003,53644.239999999998,54630.050000000003,55519.339999999997,56310.080000000002,56815.779999999999,57186.489999999998,57516.610000000001,57762.300000000003,57987.379999999997,58282.669999999998,58577.720000000001,58780.260000000002,58935.889999999999,58972.900000000001,58985.010000000002,58707.43,58115.93,57225.550000000003,56012.830000000002,54306.839999999997,52354.82,50131.379999999997,47481.790000000001,44376.440000000002,40940.809999999998,37092.540000000001,32980.900000000001,28939.700000000001,25072.549999999999,21471.689999999999,18309.060000000001,15620.549999999999,13283.73,11506.68,9997.491,8805.9850000000006,7821.4170000000004,7088.5590000000002,6301.5429999999997,5642.4030000000002,5069.5749999999998,4697.3720000000003,4369.8800000000001,4127.8419999999996,3936.864,3643.2190000000001,3194.4749999999999,2637.2089999999998,1996.74,1467.6849999999999,1068.8900000000001,853.64700000000005,737.78769999999997,621.92819999999995,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:48:29 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2006,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109.2149999999999,3148.8429999999998,5410.3459999999995,7974.46,10838.780000000001,14059.99,17405.650000000001,20882.709999999999,24360.27,27780.169999999998,30684.610000000001,33383.790000000001,35698.410000000003,37782.099999999999,39604.93,41570.629999999997,43415.769999999997,45390.589999999997,47147.959999999999,48868.519999999997,50244.809999999998,51421.279999999999,52171.449999999997,52832.919999999998,53389.68,53926.059999999998,54478.379999999997,55209.389999999999,55979.029999999999,56669.639999999999,57341.349999999999,57764.169999999998,57937.669999999998,57925.339999999997,57605.239999999998,57072.940000000002,56335.43,55575.099999999999,54537.879999999997,53418.099999999999,52038.260000000002,50736.459999999999,48963.760000000002,46921.269999999997,44234.400000000001,41263.370000000003,37506.889999999999,33419.059999999998,29210.91,25224.369999999999,21387.130000000001,18148.82,15357.01,13095.58,11315.639999999999,9999.3909999999996,8996.6239999999998,8316.4750000000004,7597.2700000000004,6815.0240000000003,5968.3239999999996,5181.4759999999997,4394.433,3756.4659999999999,3291.4560000000001,2930.9659999999999,2553.3499999999999,2191.105,1788.136,1378.9829999999999,1052.6510000000001,801.21640000000002,666.6771,593.27390000000003,519.87070000000006,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:48:09 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2003,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.090680000000001,1064.904,2902.4009999999998,4935.5079999999998,7188.2719999999999,9769.3999999999996,12567.68,15665.549999999999,18839.599999999999,22048.07,25075.110000000001,27825.119999999999,30279.860000000001,32455.330000000002,34350.239999999998,36074.300000000003,37690.800000000003,39127.510000000002,40453.260000000002,41679.449999999997,42792.360000000001,43871.300000000003,44859.220000000001,45776.68,46624.18,47464.769999999997,48121.5,48699.040000000001,49138.93,49485.769999999997,49725.260000000002,49967.07,50197.300000000003,50364,50501.050000000003,50400.209999999999,50136.169999999998,49653.379999999997,49125.610000000001,48275.900000000001,47207.129999999997,45824.269999999997,44087.480000000003,41964.769999999997,39438.290000000001,36564.099999999999,33275.690000000002,29695.209999999999,25820.419999999998,22306.849999999999,19023.41,16169.379999999999,13766.91,11906.27,10153.18,8634.0239999999994,7389.9250000000002,6348.3059999999996,5430.8320000000003,4661.8090000000002,4058.0599999999999,3460.538,2956.5300000000002,2524.2750000000001,2196.1770000000001,1945.8920000000001,1786.48,1674.7850000000001,1623.704,1595.8710000000001,1595.877,1595.877,1595.877,1595.877,1595.877,1595.877,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:47:49 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2002,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237.26,3131.223,5186.549,7492.2539999999999,10067.68,12991.98,16177.799999999999,19511.43,22842.540000000001,26013.939999999999,28728.970000000001,31040.060000000001,32965.980000000003,34609.379999999997,36029.669999999998,37457.839999999997,38749.959999999999,39884.339999999997,40881.370000000003,41814.25,42680.540000000001,43614.230000000003,44621.019999999997,45530.43,46321.559999999998,46989.089999999997,47566.760000000002,48024.949999999997,48413.019999999997,48810.809999999998,49132.080000000002,49260.339999999997,49272.360000000001,49237.919999999998,48997,48521.910000000003,47908.300000000003,47072.860000000001,46080.620000000003,44869.949999999997,43349.540000000001,41432.290000000001,39280.360000000001,36740.209999999999,33789.440000000002,30666.099999999999,27449.369999999999,24167.610000000001,20914.279999999999,17942.919999999998,15273.43,13015.41,11066.780000000001,9419.5229999999992,8054.509,6928.308,5945.7290000000003,5093.1350000000002,4404.4059999999999,3743.5619999999999,3120.1120000000001,2591.277,2177.6309999999999,1796.482,1533.674,1355.086,1229.9870000000001,1155.8499999999999,1136.297,1136.297,1136.297,1136.297,1136.297,1136.297,1136.297,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:47:31 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2001,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.12473,1328.749,3224.9250000000002,5282.2799999999997,7625.7910000000002,10250.33,13127.66,16230.6,19499.389999999999,22683.299999999999,25668.669999999998,28379.790000000001,30783.709999999999,32835.089999999997,34572.989999999998,36063.099999999999,37455.940000000002,38686.419999999998,39722.199999999997,40824.639999999999,41950.160000000003,42904.040000000001,43815.989999999998,44739.699999999997,45523.43,46136.099999999999,46746.599999999999,47291.57,47750.169999999998,48238.220000000001,48672.699999999997,49000.959999999999,49285.279999999999,49445.080000000002,49452.139999999999,49407.190000000002,49082.419999999998,48525.010000000002,47719.540000000001,46519.540000000001,44885.129999999997,42973.769999999997,40751.400000000001,38206.379999999997,35478.32,32577.23,29491.779999999999,26276.189999999999,22960.400000000001,19655.48,16548.599999999999,13990.1,11809.82,10124.440000000001,8776.1200000000008,7708.027,6573.8310000000001,5679.9570000000003,4894.4359999999997,4229.8029999999999,3675.5120000000002,3288.5479999999998,2916.971,2598.7719999999999,2327.2460000000001,2076.252,1860.825,1682.7149999999999,1535.0519999999999,1389.0429999999999,1296.4849999999999,1233.8409999999999,1188.884,1150.7629999999999,1106.761,1062.76,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:47:12 UTC,bahram,Northern America,High income,OECD,US,USA
US,,2000,YL,Labor Income,Smooth Mean,Units,Nominal,91,90+,Single,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.277830000000002,912.52880000000005,3184.8780000000002,5433.335,7736.8050000000003,10075.52,12586.84,15398.540000000001,18427.07,21544.049999999999,24720.889999999999,27698.709999999999,30214.189999999999,32427.75,34319.099999999999,35830.449999999997,37118.43,38317.519999999997,39267.25,40046.120000000003,40757.839999999997,41382.900000000001,41983.980000000003,42622.410000000003,43214.230000000003,43780.739999999998,44334.029999999999,44882.120000000003,45452.370000000003,46009.93,46621.120000000003,47275.400000000001,47878.089999999997,48418.489999999998,48788.349999999999,48934.019999999997,48658.769999999997,48029.43,46947.260000000002,45439.879999999997,43590.269999999997,41673.269999999997,39676.989999999998,37480.459999999999,35304.790000000001,32948.440000000002,30299.990000000002,27038.830000000002,23637.75,20214.18,16950.029999999999,13974.969999999999,11689,9881.8109999999997,8407.2530000000006,7301.6859999999997,6486.4260000000004,5751.808,5162.8739999999998,4657.8980000000001,4138.7709999999997,3638.9929999999999,3312.1889999999999,2964.1039999999998,2711.3890000000001,2567.4630000000002,2446.3620000000001,2236.3829999999998,2045.827,1806.1379999999999,1538.0350000000001,1290.1679999999999,1080.6880000000001,898.88400000000001,752.00779999999997,614.04510000000005,,,,,,,,,,,,,,,,,,,,,2017/05/15 00:00:00 UTC,Gretchen Donehower,2017/06/24 04:46:49 UTC,bahram,Northern America,High income,OECD,US,USA
